specialization;upper_place;place;address;availability
Chirurgia ogólna;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej";Oddział Chirurgiczny;"ul. Juliusza Słowackiego 32 09-200
Sierpc";2
Chirurgia ogólna;"Zespół Opieki Zdrowotnej ""Szpitala Powiatowego"" w
Sochaczewie";Oddział Chirurgii Ogólnej;ul. Batalionów Chłopskich 3/7 96-500 Sochaczew;3
Chirurgia ogólna;Szpital Matki Bożej Nieustającej Pomocy w Wołominie;"Oddział Chirurgiczny Ogólny
Klinika Chirurgii Ogólnej Uczelni
Łazarskiego";ul. Gdyńska 1/3 05-200 Wołomin;0
Chirurgia ogólna;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Wyszkowie";"Oddział Chirurgiczny Ogólny i
Pododdział Chirurgii Urazowo-Ortopedycznej";ul. Komisji Edukacji Narodowej 1 07-200 Wyszków;1
Chirurgia ogólna;SP ZOZ w Węgrowie;"Szpital Powiatowy Oddział
Chirurgiczny";"ul. Tadeusza Kościuszki 201 07-100
Węgrów";0
Chirurgia ogólna;"CENTRUM ZDROWIA MAZOWSZA ZACHODNIEGO
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Szpital imienia Zenona
Tokarskiego, Oddział Chirurgii
Ogólnej";ul. Bolesława Limanowskiego 30 96-300 Żyrardów;2
Chirurgia ogólna;"MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Kliniczny oddział chirurgii ogólnej,
onkologicznej i metabolicznej";"ul. Juliana Aleksandrowicza 5 26-617
Radom";3
Chirurgia ogólna;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Żurominie";Oddział Chirurgiczny Ogólny;ul. Szpitalna 56 09-300 Żuromin;0
Chirurgia ogólna;"Samodzielny Publiczny Zakład Opieki Zdrowotnej- Zespół
Zakładów";Oddział Chirurgii Ogólnej;"ul. Wincentego Witosa 2 06-200
Maków Mazowiecki";0
Chirurgia onkologiczna;"Mazowiecki Szpital Specjalistyczny im. dr. Józefa
Psarskiego w Ostrołęce";"Oddział Chirurgii Ogólnej im. dr
Jerzego Olszewskiego z
Pododdziałem chirurgii
onkologicznej";"ul. Aleja Jana Pawła II 120A 07-410
Ostrołęka";1
Chirurgia onkologiczna;Wojewódzki Szpital Zespolony;"I Oddział Chirurgii Ogólnej i
Onkologicznej, Poradnia
Proktologiczna, Poradnia Chirurgii
Ogólnej";ul. Medyczna 19 09-400 Płock;3
Chirurgia onkologiczna;"Mazowiecki Szpital Onkologiczny Spółka z ograniczoną
odpowiedzialnością";"Pododdział Chirurgii
Onkologicznej";ul. Kościelna 61 05-135 Wieliszew;3
Chirurgia onkologiczna;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Ogólnej,
Gastroenterologicznej i
Onkologicznej";"ul. Stefana Banacha 1A 02-097
Warszawa";1
Chirurgia onkologiczna;Instytut Matki i Dziecka;"Klinika Onkologii i Chirurgii
Onkologicznej Dzieci i Młodzieży";"ul. Marcina Kasprzaka 17A 01-211
Warszawa";2
Chirurgia onkologiczna;"Szpital Specjalistyczny im. Świętej Rodziny Samodzielny
Publiczny Zakład Opieki Zdrowotnej";"Oddział chirurgii onkologicznej i
rekonstrukcji piersi";"ul. Antoniego Józefa Madalińskiego
25 02-544 Warszawa";0
Chirurgia onkologiczna;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chirurgii Transplantacyjnej
i Wątroby";"ul. Stefana Banacha 1A 02-097
Warszawa";4
Chirurgia onkologiczna;"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSKIEJ-CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY";"NARODOWY INSTYTUT
ONKOLOGII IM. MARII
SKŁODOWSKIEJ-CURIE -PAŃSTWOWY INSTYTUT
BADAWCZY";"ul. Wilhelma Konrada Roentgena 5
02-781 Warszawa";6
Chirurgia onkologiczna;"MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Kliniczny oddział chirurgii ogólnej,
onkologicznej i metabolicznej";"ul. Juliana Aleksandrowicza 5 26-617
Radom";1
Chirurgia onkologiczna;"LUX MED Onkologia Spółka z Ograniczoną
Odpowiedzialnością";"LUX MED. Onkologia Sp. z o.o.
Szpital Św. Wincentego Oddział
Chirurgii Onkologicznej";"ul. św. Wincentego 103 03-291
Warszawa";2
Chirurgia onkologiczna;"KLINIKI NEURORADIOCHIRURGII SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"ODDZIAŁ CHIRURGII
ONKOLOGICZNEJ";ul. Uniwersytecka 6A 26-600 Radom;1
Chirurgia plastyczna;"Samodzielny Publiczny Szpital Kliniczny im. prof. W.
Orłowskiego Centrum Medycznego Kształcenia
Podyplomowego";"Oddział Kliniczny Chirurgii
Plastycznej, Klinika Chirurgii
Plastycznej CMKP";"ul. Czerniakowska 231 00-416
Warszawa";0
Chirurgia plastyczna;"SZPITAL GROCHOWSKI IM.DR MED. RAFAŁA MASZTAKA
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Chirurgii Ogólnej,
Onkologicznej i Rekonstrukcyjnej";"ul. Grenadierów 51/59 04-073
Warszawa";2
"Chirurgia
stomatologiczna";"DEMED TOMASZ CZECHOWSKI SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ";"Centrum Stomatologiczne Demed-Płock, Przychodnia
Stomatologiczna-Płock, Poradnia
Chirurgii Stomatologicznej - Płock";ul. Medyczna 8/210 09-400 Płock;0
"Chirurgia
stomatologiczna";"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";"Oddział Chirurgii Szczękowo-Twarzowej i Poradnia Chirurgii
Stomatologicznej";"ul. Adolfa Tochtermana 1 26-610
Radom";0
"Chirurgia
stomatologiczna";"Instytut ""Pomnik - Centrum Zdrowia Dziecka""";"Poradnia Chirurgii
Stomatologicznej dla Dzieci i
Dorosłych";"ul. Aleja Dzieci Polskich 20 04-730
Warszawa";2
"Chirurgia
stomatologiczna";"""CENTRUM MEDYCZNE WARSZAWSKIEGO
UNIWERSYTETU MEDYCZNEGO"" SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"UCS, Zakład Chirurgii
Stomatologicznej";"ul. Stanisława Binieckiego 6 02-097
Warszawa";0
"Chirurgia
stomatologiczna";"Mazowieckie Centrum Stomatologii Spółka z ograniczoną
odpowiedzialnością";"Poradnia Chirurgii
Stomatologicznej i Periodontologii";ul. Nowy Zjazd 1 00-301 Warszawa;0
"Chirurgia
stomatologiczna";"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";Oddział Chirurgii Czaszkowo-Szczękowo-Twarzowej;ul. Williama Heerleina Lindleya 4 02-005 Warszawa;2
"Chirurgia
stomatologiczna";"Centrum Medyczne Warszawskiego Uniwersytetu
Medycznego Sp. z o.o.";"Centrum Medyczne
Warszawskiego Uniwersytetu
Medycznego - Oddział
Stomatologii, Poradnia Chirurgii
Stomatologicznej";ul. Emilii Plater 21 00-688 Warszawa;0
"Chirurgia
stomatologiczna";"LECZNICA ""GOCŁAW"" Maria Kamela";"Poradnia chirurgii
stomatologicznej dla dorosłych";"ul. gen.Augusta Emila Fieldorfa
""Nila"" 5 03-984 Warszawa";1
Chirurgia szczękowo-twarzowa;"NARODOWY INSTYTUT ONKOLOGII IM. MARII
SKŁODOWSKIEJ-CURIE - PAŃSTWOWY INSTYTUT
BADAWCZY";"Oddział Zabiegowy Kliniki
Nowotworów Głowy i Szyi";"ul. Wilhelma Konrada Roentgena 5
02-781 Warszawa";0
Chirurgia szczękowo-twarzowa;"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";Oddział Chirurgii Czaszkowo-Szczękowo-Twarzowej;ul. Williama Heerleina Lindleya 4 02-005 Warszawa;1
Chirurgia szczękowo-twarzowa;"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";"Oddział Chirurgii Szczękowo-Twarzowej, Poradnia Chirurgii
Szczękowo-Twarzowej i Poradnia
Chirurgii Stomatologicznej";"ul. Adolfa Tochtermana 1 26-610
Radom";0
Choroby płuc;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chorób Wewnętrznych,
Pneumonologii i Alergologii";"ul. Stefana Banacha 1A 02-097
Warszawa";0
Choroby płuc;"MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Pulmonologii i Onkologii
Pulmonologicznej z Poradnią
Chorób Płuc i Gruźlicy";"ul. Juliana Aleksandrowicza 5 26-617
Radom";2
Choroby płuc;Instytut Gruźlicy i Chorób Płuc;II Klinika Chorób Płuc;ul. Płocka 26 01-138 Warszawa;1
Choroby płuc;Instytut Gruźlicy i Chorób Płuc;III Klinika Chorób Płuc i Onkologii;ul. Płocka 26 01-138 Warszawa;6
Choroby płuc;Instytut Gruźlicy i Chorób Płuc;I Klinika Chorób Płuc;ul. Płocka 26 01-138 Warszawa;4
Choroby płuc dzieci;Mazowieckie Centrum Leczenia Chorób Płuc i Gruźlicy;"Oddział I Chorób Płuc i Gruźlicy
dla Dzieci";"ul. Stanisława Władysława Reymonta
83/91 05-400 Otwock";3
Choroby płuc dzieci;"UNIWERSYTECKIE CENTRUM KLINICZNE
WARSZAWSKIEGO UNIWERSYTETU MEDYCZNEGO";"Oddział Kliniczny Pneumonologii,
Alergologii Wieku Dziecięcego i
Pediatrii";"ul. Żwirki i Wigury 63A 02-091
Warszawa";0
Choroby płuc dzieci;"Samodzielny Zespół Publicznych Zakładów Opieki
Zdrowotnej im. Dzieci Warszawy w Dziekanowie Leśnym";Kliniczny Oddział Chorób Płuc;"ul. Marii Konopnickiej 65 05-092
Dziekanów Leśny";9
Choroby wewnętrzne;"MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Kliniczny Oddział Wewnętrzny I z
Pododdziałem Reumatologii";"ul. Juliana Aleksandrowicza 5 26-617
Radom";8
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Oddział Kliniczny Hepatologii,
Transplantologii i Chorób
Wewnętrznych";"ul. Stefana Banacha 1A 02-097
Warszawa";3
Choroby wewnętrzne;"SZPITAL POWIATOWY GAJDA-MED SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Oddział Chorób Wewnętrznych;"ul. Teofila Kwiatkowskiego 19 06-102
Pułtusk";8
Choroby wewnętrzne;"Centrum Medyczne im. Bitwy Warszawskiej 1920 r. w
Radzyminie- Samodzielny Publiczny Zespół Zakładów
Opieki Zdrowotnej";Oddział Chorób Wewnętrznych;"ul. Konstytucji 3-Maja 17 05-250
Radzymin";6
Choroby wewnętrzne;Wojewódzki Szpital Zespolony w Płocku;Oddział Chorób Płuc;ul. Medyczna 19 09-400 Płock;1
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chorób Wewnętrznych,
Nadciśnienia Tętniczego i
Angiologii";"ul. Stefana Banacha 1A 02-097
Warszawa";10
Choroby wewnętrzne;Instytut Gruźlicy i Chorób Płuc;II Klinika Chorób Płuc;ul. Płocka 26 01-138 Warszawa;18
Choroby wewnętrzne;Instytut Gruźlicy i Chorób Płuc;III Klinika Chorób Płuc i Onkologii;ul. Płocka 26 01-138 Warszawa;4
Choroby wewnętrzne;Instytut Gruźlicy i Chorób Płuc;I Klinika Chorób Płuc;ul. Płocka 26 01-138 Warszawa;10
Choroby wewnętrzne;"SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ IM.MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W
PŁOŃSKU";"Oddział chorób wewnętrznych z
pododdziałem diabetologicznym";"ul. Henryka Sienkiewicza 7 09-100
Płońsk";14
Choroby wewnętrzne;"SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ W PRUSZKOWIE";Oddział Chorób Wewnętrznych;"ul. Armii Krajowej 2/4 05-800
Pruszków";7
Choroby wewnętrzne;Specjalistyczny Szpital Wojewódzki w Ciechanowie;Oddział Kardiologiczny;ul. Powstańców Wielkopolskich 2 06-400 Ciechanów;8
Choroby wewnętrzne;Wojewódzki Szpital Zespolony;Oddział Nefrologiczny;ul. Medyczna 19 09-400 Płock;8
Choroby wewnętrzne;"MAZOWIECKIE CENTRUM REHABILITACJI ""STOCER""
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Oddział Kardiologiczny;ul. Warsztatowa 1 05-800 Pruszków;4
Choroby wewnętrzne;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Przasnyszu";Oddział Wewnętrzny;ul. Sadowa 9 06-300 Przasnysz;6
Choroby wewnętrzne;"MAZOWIECKIE CENTRUM REHABILITACJI ""STOCER""
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Chorób Wewnętrznych I,
Oddział Gastroenterologiczny,
Oddział Diabetologiczny";ul. Warsztatowa 1 05-800 Pruszków;6
Choroby wewnętrzne;"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";Oddział Nefrologii i Stacja Dializ;"ul. Adolfa Tochtermana 1 26-610
Radom";5
Choroby wewnętrzne;"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";"Oddział Kardiologiczny z
Pracownią Elektroterapii i Oddział
Intensywnego Nadzoru
Kardiologicznego";"ul. Adolfa Tochtermana 1 26-610
Radom";13
Choroby wewnętrzne;"MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział wewnętrzny II i
nadciśnienia tętniczego";"ul. Juliana Aleksandrowicza 5 26-617
Radom";2
Choroby wewnętrzne;"Radomski Szpital Specjalistyczny im. Dr Tytusa
Chałubińskiego";Oddział Chorób Wewnętrznych;"ul. Adolfa Tochtermana 1 26-610
Radom";2
Choroby wewnętrzne;Specjalistyczny Szpital Wojewódzki w Ciechanowie;Oddział Wewnętrzny;ul. Powstańców Wielkopolskich 2 06-400 Ciechanów;7
Choroby wewnętrzne;ARION Med Sp. z o.o.;"Szpital w Gorzewie Oddział
Chorób Wewnętrznych";"ul. Kruk 5 09-500 Gorzewo
(Gostynin)";2
Choroby wewnętrzne;"Samodzielny Publiczny Specjalistyczny Szpital Zachodni
im. św. Jana Pawła II";Oddział Chorób Wewnętrznych;"ul. Daleka 11 05-825 Grodzisk
Mazowiecki";3
Choroby wewnętrzne;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w
Garwolinie";Oddział Wewnętrzno-Kardiologiczny;ul. Lubelska 50 08-400 Garwolin;6
Choroby wewnętrzne;ARION Med Sp. z o.o.;"Szpital w Gorzewie Oddział
Kardiologiczny";"ul. Kruk 5 09-500 Gorzewo
(Gostynin)";3
Choroby wewnętrzne;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Kozienicach";"Oddział Wewnętrzny z
Pododdziałem Kardiologii";"ul. Aleja Władysława Sikorskiego 10
26-900 Kozienice";9
Choroby wewnętrzne;"SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI
ZDROWOTNEJ";Oddział wewnętrzny;"ul. Jędrzeja Śniadeckiego 2 27-300
Lipsko";5
Choroby wewnętrzne;"POWIATOWE CENTRUM MEDYCZNE W GRÓJCU SPÓŁKA
Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Chorób Wewnętrznych z
Pododdziałem Intensywnego
Nadzoru Kardiologicznego";ul. ks. Piotra Skargi 10 05-600 Grójec;7
Choroby wewnętrzne;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej Szpital w Iłży";Dział Chorób Wewnętrznych;ul. dr Anki 4 27-100 Iłża;6
Choroby wewnętrzne;"Samodzielny Publiczny Zakład Opieki Zdrowotnej - Zespół
Zakładów";Oddział Chorób Wewnętrznych;"ul. Wincentego Witosa 2 06-200
Maków Mazowiecki";2
Choroby wewnętrzne;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w
Mińsku Mazowieckim";Oddział Wewnętrzny;"ul. Szpitalna 37 05-300 Mińsk
Mazowiecki";10
Choroby wewnętrzne;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w
Łosicach, Szpital Powiatowy";Oddział Chorób Wewnętrznych;ul. Słoneczna 1 08-200 Łosice;9
Choroby wewnętrzne;"Samodzielny Publiczny Zakład Opieki Zdrowotnej - Zespół
Zakładów";"Oddział Internistyczno-Nefrologiczny z Pododdziałem
Diabetologii ze Stacją Dializ i
Zespołem Domowej Dializoterapii
Otrzewnowej";"ul. Wincentego Witosa 2 06-200
Maków Mazowiecki";5
Choroby wewnętrzne;"Mazowiecki Szpital Specjalistyczny im. dr. Józefa
Psarskiego w Ostrołęce";"Oddział Kardiologiczny + Poradnia
Kardiologiczna";"ul. Aleja Jana Pawła II 120A 07-410
Ostrołęka";8
Choroby wewnętrzne;"Mazowiecki Szpital Specjalistyczny im. dr. Józefa
Psarskiego w Ostrołęce";Oddział Chorób Wewnętrznych;"ul. Aleja Jana Pawła II 120A 07-410
Ostrołęka";3
Choroby wewnętrzne;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w
Mławie";Oddział Wewnętrzny;ul. Anny Dobrskiej 1 06-500 Mława;10
Choroby wewnętrzne;"Nowodworskie Centrum Medyczne w Nowym Dworze
Mazowieckim";"Oddział Chorób Wewnętrznych
wraz z Pododdziałem
Kardiologicznym";"ul. Miodowa 2 05-100 Nowy Dwór
Mazowiecki";1
Choroby wewnętrzne;Europejskie Centrum Zdrowia Otwock Sp. z o.o.;"Oddział Kardio-Angiologii / Klinika
Krążenia Płucnego i Chorób
Zakrzepowo-Zatorowych i
Kardiologii CMKP";ul. Borowa 14/18 05-400 Otwock;3
Choroby wewnętrzne;Mazowieckie Centrum Leczenia Chorób Płuc i Gruźlicy;"Oddział XII Chorób Wewnętrznych
Klatki Piersiowej";"ul. Władysława Stanisława Reymonta
83/91 05-400 Otwock";11
Choroby wewnętrzne;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej w Ostrowi Mazowieckiej";Oddział Chorób Wewnętrznych;"ul. Stanisława Duboisa 68 07-300
Ostrów Mazowiecka";6
Choroby wewnętrzne;"POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W
RESTRUKTURYZACJI";Oddział Chorób Wewnętrznych;"ul. Stefana Batorego 44 05-400
Otwock";9
Choroby wewnętrzne;Wojewódzki Szpital Zespolony;Oddział Kardiologiczny;ul. Medyczna 19 09-400 Płock;5
Choroby wewnętrzne;Wojewódzki Szpital Zespolony;Oddział Wewnętrzny;ul. Medyczna 19 09-400 Płock;13
Choroby wewnętrzne;"""EMC PIASECZNO"" SPÓŁKA Z OGRANICZONĄ
ODPOWIEDZIALNOŚCIĄ";"NIEPUBLICZNY ZAKŁAD OPIEKI
ZDROWOTNEJ SZPITAL ŚW. ANNY
W PIASECZNIE Oddział chorób
wewnętrznych i chorób serca";ul. Mickiewicza 39 05-500 Piaseczno;2
Choroby wewnętrzne;"PŁOCKI ZAKŁAD OPIEKI ZDROWOTNEJ SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Szpital Świętej Trójcy Oddział
Chorób Wewnętrznych";"ul. Tadeusza Kościuszki 28 09-402
Płock";8
Choroby wewnętrzne;Samodzielny Publiczny Zakład Opieki Zdrowotnej;Oddział Internistyczny;ul. Starowiejska 15 08-110 Siedlce;8
Choroby wewnętrzne;"Samodzielny Publiczny Zespół Zakładów Opieki
Zdrowotnej";Oddział Chorób Wewnętrznych;"ul. Juliusza Słowackiego 32 09-200
Sierpc";3
Choroby wewnętrzne;"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w
Siedlcach Spółka z ograniczoną odpowiedzialnością";"Siedlecki Szpital Specjalistyczny
Oddział Chorób Wewnętrznych";"ul. Księcia Józefa Poniatowskiego 26
08-110 Siedlce";6
Choroby wewnętrzne;"Mazowiecki Szpital Wojewódzki im. św. Jana Pawła II w
Siedlcach Spółka z ograniczoną odpowiedzialnością";"Siedlecki Szpital Specjalistyczny
Oddział Kardiologiczny";"ul. Księcia Józefa Poniatowskiego 26
08-110 Siedlce";1
Choroby wewnętrzne;"NARODOWY INSTYTUT KARDIOLOGII STEFANA
KARDYNAŁA WYSZYŃSKIEGO - PAŃSTWOWY INSTYTUT
BADAWCZY";"Klinika Choroby Wieńcowej i
Strukturalnych Chorób Serca";ul. Alpejska 42 04-628 Warszawa;0
Choroby wewnętrzne;"Zespół Opieki Zdrowotnej ""Szpitala Powiatowego"" w
Sochaczewie";Oddział Wewnętrzno-Kardiologiczny;ul. Batalionów Chłopskich 3/7 96-500 Sochaczew;10
Choroby wewnętrzne;"SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ
W SOKOŁOWIE PODLASKIM";Oddział Chorób Wewnętrznych;"ul. Księdza Bosco 5 08-300 Sokołów
Podlaski";6
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Hematologii,
Transplantologii i Chorób
Wewnętrznych";"ul. Stefana Banacha 1A 02-097
Warszawa";17
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Gastroenterologii i Chorób
Wewnętrznych";"ul. Stefana Banacha 1A 02-097
Warszawa";2
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chorób Wewnętrznych i
Endokrynologii";"ul. Stefana Banacha 1A 02-097
Warszawa";18
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";Klinika Kardiologii;"ul. Stefana Banacha 1A 02-097
Warszawa";13
Choroby wewnętrzne;"Mazowieckie Centrum Rehabilitacji ""STOCER"" Sp. z o.o.";"Szpital Chirurgii Urazowej św.
Anny Oddział Chorób
Wewnętrznych z Pododziałem
Kardiologii i Pododdziałem
Gastroenterologii";ul. Barska 16/20 02-315 Warszawa;6
Choroby wewnętrzne;Międzyleski Szpital Specjalistyczny w Warszawie;I Oddział Wewnętrzny;ul. Bursztynowa 2 04-749 Warszawa;5
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Chorób Wewnętrznych,
Pneumonologii i Alergologii";"ul. Stefana Banacha 1A 02-097
Warszawa";17
Choroby wewnętrzne;"Uniwersyteckie Centrum Kliniczne Warszawskiego
Uniwersytetu Medycznego";"Klinika Nefrologii, Dializoterapii i
Chorób Wewnętrznych";"ul. Stefana Banacha 1A 02-097
Warszawa";26
Choroby wewnętrzne;"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";II Oddział Chorób Wewnętrznych;ul. Cegłowska 80 01-809 Warszawa;10
Choroby wewnętrzne;"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";"I Oddział Chorób Wewnętrznych i
Klinika Endokrynologii CMKP";ul. Cegłowska 80 01-809 Warszawa;7
Choroby wewnętrzne;Międzyleski Szpital Specjalistyczny w Warszawie;"Oddział II Wewnętrzny,
Pododdział gastroenterologiczny";ul. Bursztynowa 2 04-749 Warszawa;2
Choroby wewnętrzne;Międzyleski Szpital Specjalistyczny w Warszawie;"Oddział Kardiologii i Chorób
Wewnętrznych";ul. Bursztynowa 2 04-749 Warszawa;10
Choroby wewnętrzne;"Samodzielny Publiczny Szpital Kliniczny im. prof. W.
Orłowskiego Centrum Medycznego Kształcenia
Podyplomowego";"Oddział Kliniczny Chorób
Wewnętrznych i
Gerontokardiologii, Katedra i
Klinika Chorób Wewnętrznych i
Gerontokardiologii CMKP";"ul. Czerniakowska 231 00-416
Warszawa";12
Choroby wewnętrzne;Instytut Hematologii i Transfuzjologii;Klinika Hematologii;"ul. Indiry Gandhi 14 02-776
Warszawa";6
Choroby wewnętrzne;"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";"Oddział Kardiologiczny Klinika
Kardiologii Oddziału Fizjoterapii II
Wydziału Lekarskiego WUM";ul. Cegłowska 80 01-809 Warszawa;14
Choroby wewnętrzne;"Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny
Publiczny Zakład Opieki Zdrowotnej";Oddział Gastroenterologiczny;ul. Cegłowska 80 01-809 Warszawa;1
Choroby wewnętrzne;"SZPITAL GROCHOWSKI IM.DR MED. RAFAŁA MASZTAKA
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Oddział Kardiologii/Klinika
Kardiologii CMKP";"ul. Grenadierów 51/59 04-073
Warszawa";13
Choroby wewnętrzne;"SZPITAL GROCHOWSKI IM.DR MED. RAFAŁA MASZTAKA
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";III Oddział Chorób Wewnętrznych;"ul. Grenadierów 51/59 04-073
Warszawa";7
Choroby wewnętrzne;Instytut Hematologii i Transfuzjologii;"Klinika Zaburzeń Hemostazy i
Chorób Wewnętrznych";"ul. Indiry Gandhi 14 02-776
Warszawa";4
Choroby wewnętrzne;"SZPITAL GROCHOWSKI IM.DR MED. RAFAŁA MASZTAKA
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";I Oddział Chorób Wewnętrznych;"ul. Grenadierów 51/59 04-073
Warszawa";4
Choroby wewnętrzne;"Szpital Wolski im. dr Anny Gostyńskiej Spółka z
ograniczoną odpowiedzialnością";"Kliniczny Oddział kardiologiczny z
Pododdziałem intensywnego
nadzoru kardiologicznego";"ul. Marcina Kasprzaka 17 01-211
Warszawa";0
Choroby wewnętrzne;"Mazowiecki Szpital Bródnowski Spółka z ograniczoną
odpowiedzialnością";"Zespół Oddziałów Chorób
Wewnętrznych i Gastroenterologii";"ul. Ludwika Kondratowicza 8 03-242
Warszawa";7
Choroby wewnętrzne;"SZPITAL WOLSKI IM. DR ANNY GOSTYŃSKIEJ SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Kliniczny Oddział Chorób
Wewnętrznych i Endokrynologii";"ul. Marcina Kasprzaka 17 01-211
Warszawa";4
Choroby wewnętrzne;"SZPITAL WOLSKI IM. DR ANNY GOSTYŃSKIEJ SPÓŁKA Z
OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";II Oddział chorób wewnętrznych;"ul. Marcina Kasprzaka 17 01-211
Warszawa";1
Choroby wewnętrzne;"Mazowiecki Szpital Bródnowski Spółka z ograniczoną
odpowiedzialnością";"Zespół Oddziałów Chorób
Wewnętrznych, Endokrynologii i
Diabetologii, Katedra i Klinika
Chorób Wewnętrznych,
Endokrynologii i Diabetologii
WUM";"ul. Ludwika Kondratowicza 8 03-242
Warszawa";10
